م,اسم المنافسة,الجهة,الرقم المرجعي,مدة العقد,الشركة,المتبقي لإغلاق المنافسة,التصنيف,تاريخ النشر,تاريخ تسجيل الفرصة,تاريخ إغلاق المنافسة,نشاط المنافسة,مبلغ التقديم,شركة الترسية المشروع عليها,قيمة الترسية,,,,,,,,,,,,,,,,,,
1,مشروع تأهيل حدائق بوسط مدينة الدمام,أمانة المنطقة الشرقية,250139002657,12 شهر,البيئة,-284,لم يتم التقديم - لم يتم استلام العرض,08-Jan-25,14-Jan-25,09-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
2, تشغيل وصيانة المزروعات والحدائق بنطاق بلدية الشرق بمدينة الرياض,أمانة منطقة الرياض,241239002922,3 سنة,البيئة,-274,لم يتم التقديم - لم يتم استلام العرض,19-Jan-25,26-Jan-25,19-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
3,إنشاء مسطحات خضراء وممرات مشاه بالذيبية والقرى التابعة لها,بلدية الذيبية,250139012565,36 شهر,البيئة,-280,لم يتم التقديم - لم يتم استلام العرض,28-Jan-25,30-Jan-25,13-Feb-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق,,,,,,,,,,,,,,,,,,,,,
4,تشغيل وصيانة وزراعة ونظافة لنادي منسوبي وزارة الداخلية بجدة,لإدارة العامة لأندية منسوبي وزارة الداخلية,250139000695,36 شهر,البيئة,-276,لم يتم التقديم - لم يتم استلام العرض,16-Jan-25,30-Jan-25,17-Feb-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق,,,,,,,,,,,,,,,,,,,,,
5,توريد أجهزه مختبر بيطرة,القوات البرية,250239000166,60 يوم,البيطرة,-275,لم يتم التقديم - لم يتم استلام العرض,02-Feb-25,02-Feb-25,18-Feb-25,أنشطة بيطرية,,,,,,,,,,,,,,,,,,,,,
6,توريد أدوية بيطرية,رئاسة الحرس الملكي,250139011754,6 شهر,البيطرة,-277,لم يتم التقديم - لم يتم استلام العرض,28-Jan-25,02-Feb-25,16-Feb-25,أنشطة بيطرية,,,,,,,,,,,,,,,,,,,,,
7,تقديم الخدمات الاستشارية لدعم تأسيس إدارة تقنية المعلومات (التحول الرقمي),الهيئة العامة للتجارة الخارجية,250139010820,1 سنة,شركة دروع البيانات,-277,لم يتم التقديم - لم يتم استلام العرض,26-Jan-25,28-Jan-25,16-Feb-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
8,معايرة الأجهزة و الأدوات البيئية لدى فروع المركز الوطني للرقابة على الالتزام البيئي,المركز الوطني للرقابة على الالتزام البيئي,250339016528,3 شهر,الاستدامة,-223,لن يتم التقديم,26-Mar-25,26-Mar-25,11-Apr-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
9,توريد نجيلة طبيعية للحدائق والمنتزهات,بلدية محافظة املج,250339000746,30 يوم,المقاولات,-245,لن يتم التقديم,04-Mar-25,12-Mar-25,20-Mar-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
10,مشروع تقديم خدمات هندسية واستشارية لعقارات الأوقاف التي تحت نظارة الهيئة,الهيئة العامة للأوقاف,241239006214,36 شهر,المقاولات,-292,لن يتم التقديم,17-Dec-24,17-Dec-24,01-Feb-25,انشطة الاستشارات الهندسية- اشراف,,,,,,,,,,,,,,,,,,,,,
11,تقديم اعمال متخصصة للقيام بأنسنه المرافق الخدمية لوحدة انتاج المياه المحلاة بالعزيزية,الهيئة السعودية للمياه,241239006920,,المقاولات,-308,لن يتم التقديم,16-Dec-24,16-Dec-24,16-Jan-25,مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
12,رفع كفاءة وموثوقية الأنظمة الكهرباء بمبنى ديوان الوزارة,وزارة البيئة والمياه والزراعة,241239005399,18 شهر,المقاولات,-312,لن يتم التقديم,12-Dec-24,12-Dec-24,12-Jan-25,مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
13,مشروع معالجة التشوهات البصرية بالمنطقة المحيطة ببلدية الشمال,أمانة منطقة حائل,241139015236,11 شهر,المقاولات,-299,لن يتم التقديم,25-Dec-24,25-Dec-24,25-Jan-25,"تجارة مواد البناء والأدوات الكهربائية والصحية
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
أنشطة التدوير وجمع النفايات ومعالجتها وتصريفها واسترجاع المواد
إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
14,توريد وتركيب وصيانة عوامات الإرساء البحرية المستدامة في البحر الأحمر لغرض السياحة الساحلية,الهيئة السعودية للبحر الأحمر,240939016471,36 شهر,البيئة,-260,لن يتم التقديم,27-Jan-25,30-Jan-25,05-Mar-25,"خدمات صيانة واصلاح الأجهزة والمعدات والآلات
خدمات الموانئ",,,,,,,,,,,,,,,,,,,,,
15,صيانة الحدائق ومسطحات الخضراء وممرات المشاة والساحات وشبكات الري بجازان (صيانة المسطحات الخضراء بالمحور الجنوبي لمدينة جازان),أمانة منطقة جازان,250139013132,1095 يوم,البيئة,-263,لن يتم التقديم,30-Jan-25,02-Feb-25,02-Mar-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
16,صيانة الحدائق والأشجار والميادين,بلدية محافطة بيش,250239003989,1095 يوم,المقاولات,-270,لم يتم التقديم,06-Feb-25,09-Feb-25,23-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
17,إنشاء حديقة بمحافظة ميسان,بلدية ميسان,250139014054,180 يوم,البيئة,-273,لن يتم التقديم,02-Feb-25,05-Feb-25,20-Feb-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
18,صيانة الحدائق بمحافظة تربة,بلدية محافظة تربة,250239001942,6 شهر,البيئة,-270,لن يتم التقديم,05-Feb-25,09-Feb-25,23-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
19,صيانة وتشغيل ونظافـة وتشجير الصالات الملكية بالمطارات الاقليمية,الهيئة العامة للطيران المدني,241239001899,548 يوم,البيئة,-269,لن يتم التقديم,22-Jan-25,09-Feb-25,24-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
